amor   kuyay   amour   amore
amigo   masi   ami   amico
amar   kuyay   amour   amore
anos   watakuna   annees   anni
trabajo   lamkay   travail   lavoro
vida   kawsay   vie   vita
puedo   atinim   Je_peux   posso
estar   kay   etre   essere
hacer   ruway   faire   fare
persona   runa   personne   persona
si   ari   si   se
pero   ichaqa   mais   ma
aire   wayra   air   aria
animal   uywa   animal   animale
aparato   aparato   dispositif   dispositivo
aprobar   uyakuy   aprouver   aprovare
argentino   argentinamanta   argentin   argentino
arte   sumaq_ruway   art   arte
aumento   wichasqa   augmentation_de   aumento
automovil   caro   automobile   automobile
ayudar   yanapay   aide   aiuto
alimento   mikuna   nouriture   cibo
ali   chaypi   ali   ali
alguno   wakin   tout   qualsiasi
alto   hatun   haut   alto
algunas   wakin   un_peu_de   alcuni
algunos   wakin   un_peu_de   alcuni
algo mas   imapas_huk   un_peu_plus   di_più
alguna vez   winaypaq   parfois   qualche_volta
abrir   kicharinapaq   ouvrir   aperto
abuelo   abuelo   grand_pere   nonno
abogado   amachaq   avocat   avvocato
absoluto   absoluto_nisqa   absolu   assoluto
aburido   amisqa   ennuyeux   noioso
acuerdo   rimanakuy   accord   accordo
actitud   actitud   attitude   atteggiamento
actor   actor   acteur   attore
actual   kunan   actuel   corente
adios   tupanchikkama   au_revoir   ciao_ciao
ademas   chaymantapas   egalement   anche
adorno   adorno   ornementation   ornamento
aduana   costumbrekuna   douanes   dogana
adulto   kuraq_runa   adulte   adulto
afeitar   rutuy   raser   rasatura
aficionado   amawta   amateur   amatoriale
afilar   filochay   aiguiser   afilare
afirmar   niy   afirmer   afermare
afligido   nak+arisqa   aflige   aflitto
agarar   hapiy   saisir   aferare
bueno   alin   bon   buono
bien   alin   bon   buono
buen   alin   bon   buono
bebe   wawa   bebe   bambino
boca   simi   bouche   bocca
banco   banco   banque   banca
bajar   uraykamuy   telecharger   scaricare
bajo   pisi   sous   sotto
bolsa   wayaqa   sac   borsa
brazo   rikra   bras   braccio
bicicleta   bicicleta   velo   bicicletta
boda   casarakuy   mariage   matrimonio
bola   pukuchu   bale   pala
bar   siqi   bar   bar
baja   taka   faible   basso
bano   maylikuna_wasi   bain   bagno
baile   tusuy   danse   danza
base   pachan   base   base
biblioteca   yachay_taqi   bibliotheque   biblioteca
bilete   boleto_nisqa   bilet   biglietto
boracho   machasqa   ivre   ubriaco
botela   botela   bouteile   bottiglia
busqueda   maskay   recherche   ricerca
bote   wanpuq   bateau   barca
breve   uchuyla   court   breve
brisa   wayra   brise   brezza
brilante   kanchay   brilant   luminoso
